Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,-6.9389E-17,0.061246,0,0,0,0.50026,0.0011078,5.421E-20,2.1176E-20,0.0011078,-5.438E-19,0.00063517,0,0,0,0,0,0,package://robot_model/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/base_link.STL,,base_bottom-1,bottom_base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bottom_link_1_1,0.032953,0.0015,-0.043236,0,0,0,0.016709,1.1115E-05,-8.0627E-08,1.8107E-06,1.6771E-05,5.8697E-08,5.6972E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_1.STL,,bottom_1-15,bottom_frame_1_1,bottom_axis_1_1,bottom_joint_1_1,revolute,-0.07,0.059,0.085,0,0.055591,0.85204,base_link,0.055562,0,-0.99846,0,0,0,0,,,,,,,,
bottom_link_1_2,0.0305,-0.0015,-0.045,0,0,0,0.016709,1.1299E-05,7.7241E-08,1.499E-06,1.6771E-05,-6.3086E-08,5.5131E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_2.STL,,bottom_1-13,bottom_frame_1_2,bottom_axis_1_2,bottom_joint_1_2,revolute,0.060906,0.003,0.0033893,-0.055099,-0.0073835,1.4377,bottom_link_1_1,0,0,-1,0,0,0,0,,,,,,,,
bottom_link_1_3,0.070001,0.011933,-0.044687,0,0,0,0.14664,0.00010095,4.7547E-10,-9.3214E-07,0.00028902,3.1691E-07,0.00019062,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_3.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_3.STL,,bottom_left-4,bottom_frame_1_3,bottom_axis_1_3,bottom_joint_1_3,revolute,0.061,-0.003,0,0,0,-2.2896,bottom_link_1_2,0,0,-1,0,0,0,0,,,,,,,,
bottom_link_1_4,0.0305,-0.0015,-0.0450000000000001,0,0,0,0.0167092266655334,1.12993899246112E-05,7.72408699481511E-08,1.49898179922226E-06,1.67711222702261E-05,-6.308639996175E-08,5.51305619636719E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_4.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_4.STL,,bottom_1-16,bottom_frame_1_4,bottom_axis_1_4,bottom_joint_1_4,revolute,0.07,0.059,0.085,0,0,2.2896,base_link,0,0,-1,0,0,0,0,,,,,,,,
bottom_link_1_5,0.0305,0.0015,-0.045,0,0,0,0.0167092266655333,1.12993899246111E-05,-7.72408699481488E-08,1.49898179922225E-06,1.67711222702261E-05,6.30863999617497E-08,5.51305619636717E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_5.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_1_5.STL,,bottom_1-14,bottom_frame_1_5,bottom_axis_1_5,bottom_joint_1_5,revolute,0.061,-0.003,0,0,0,-1.4375,bottom_link_1_4,0,0,-1,0,0,0,0,,,,,,,,
bottom_link_2_1,0.0323038618709952,0.00150000000002677,-0.0437231118313758,0,0,0,0.0167092266655333,1.11680760652139E-05,-7.97412442441504E-08,1.72902542443584E-06,1.6771122270226E-05,5.98947394758148E-08,5.64437005576434E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_1.STL,,bottom_1-27,bottom_frame_2_1,bottom_axis_2_1,bottom_joint_2_1,revolute,0.086095,0.031122,0.085,0,0.040657,-1.4272,base_link,0.040646,0,-0.99917,0,0,0,0,,,,,,,,
bottom_link_2_2,0.0316816988000864,-0.0015,-0.0441760111501776,0,0,0,0.0167092266655333,1.12159150610143E-05,7.88854092632054E-08,1.65014902364536E-06,1.67711222702261E-05,-6.10175225313025E-08,5.59653105996396E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_2.STL,,bottom_1-25,bottom_frame_2_2,bottom_axis_2_2,bottom_joint_2_2,revolute,0.06095,0.003,0.0024794,-0.039551,0.036001,1.806,bottom_link_2_1,0.026498,0,-0.99965,0,0,0,0,,,,,,,,
bottom_link_2_3,0.0699999817100601,0.0119307475595782,-0.0446871541670269,0,0,0,0.14664086162693,0.0001009461163209,4.08874533460325E-10,-9.32140285730746E-07,0.000289021628271777,3.16909007234173E-07,0.000190624860098751,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_3.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_3.STL,,bottom_left-7,bottom_frame_2_3,bottom_axis_2_3,bottom_joint_2_3,revolute,0.060979,-0.003,0.0016164,0.016401,0.020817,-2.4742,bottom_link_2_2,0,0,-1,0,0,0,0,,,,,,,,
bottom_link_2_4,0.0316816988000293,-0.00149999999997225,-0.0441760111501792,0,0,0,0.0167092266655334,1.12159150610143E-05,7.88854092632037E-08,1.65014902364536E-06,1.67711222702261E-05,-6.10175225313023E-08,5.59653105996396E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_4.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_4.STL,,bottom_1-28,bottom_frame_2_4,bottom_axis_2_4,bottom_joint_2_4,revolute,0.016095,-0.090122,0.085,0,0.026501,0.38001,base_link,0.026498,0,-0.99965,0,0,0,0,,,,,,,,
bottom_link_2_5,0.0323038618710062,0.00149999999999999,-0.0437231118313753,0,0,0,0.0167092266655334,1.11680760652139E-05,-7.97412442441517E-08,1.72902542443589E-06,1.67711222702261E-05,5.98947394758156E-08,5.64437005576438E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_5.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_2_5.STL,,bottom_1-26,bottom_frame_2_5,bottom_axis_2_5,bottom_joint_2_5,revolute,0.060979,-0.003,0.0016164,0.025792,0.04685,-1.8061,bottom_link_2_4,0.040646,0,-0.99917,0,0,0,0,,,,,,,,
bottom_link_3_1,0.0304999999999998,0.00149999999999997,-0.045,0,0,0,0.0167092266655333,1.12993899246111E-05,-7.72408699481509E-08,1.49898179922225E-06,1.6771122270226E-05,6.30863999617512E-08,5.51305619636717E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_1.STL,,bottom_1-19,bottom_frame_3_1,bottom_axis_3_1,bottom_joint_3_1,revolute,-0.016095,-0.090122,0.085,0,0,2.9167,base_link,0,0,-1,0,0,0,0,,,,,,,,
bottom_link_3_2,0.0304999999999999,-0.00150000000000008,-0.045,0,0,0,0.0167092266655334,1.12993899246111E-05,7.72408699481505E-08,1.49898179922225E-06,1.67711222702261E-05,-6.30863999617503E-08,5.51305619636718E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_2.STL,,bottom_1-17,bottom_frame_3_2,bottom_axis_3_2,bottom_joint_3_2,revolute,0.061,0.003,0,0,0,1.497,bottom_link_3_1,0,0,-1,0,0,0,0,,,,,,,,
bottom_link_3_3,0.070000626800577,0.0119332957343058,-0.0446871895124752,0,0,0,0.14664410061026,0.000100945970506456,4.06926128643931E-10,-9.32140319989326E-07,0.000289022168631917,3.16907445634966E-07,0.000190625260305374,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_3.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_3.STL,,bottom_left-5,bottom_frame_3_3,bottom_axis_3_3,bottom_joint_3_3,revolute,0.061,-0.003,0,0,0,-2.3193,bottom_link_3_2,0,0,-1,0,0,0,0,,,,,,,,
bottom_link_3_4,0.0304999999999999,-0.00149999999999999,-0.045,0,0,0,0.0167092266655333,1.12993899246111E-05,7.72408699481509E-08,1.49898179922225E-06,1.67711222702261E-05,-6.30863999617501E-08,5.51305619636718E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_4.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_4.STL,,bottom_1-20,bottom_frame_3_4,bottom_axis_3_4,bottom_joint_3_4,revolute,-0.086095,0.031122,0.085,0,0,-1.8695,base_link,0,0,-1,0,0,0,0,,,,,,,,
bottom_link_3_5,0.0305,0.00149999999999995,-0.045,0,0,0,0.0167092266655334,1.12993899246111E-05,-7.72408699481521E-08,1.49898179922225E-06,1.67711222702261E-05,6.3086399961751E-08,5.51305619636718E-06,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_5.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/bottom_link_3_5.STL,,bottom_1-18,bottom_frame_3_5,bottom_axis_3_5,bottom_joint_3_5,revolute,0.061,-0.003,0,0,0,-1.497,bottom_link_3_4,0,0,-1,0,0,0,0,,,,,,,,
upper_base_link,3.8054621693262E-06,1.02185648802045E-05,0.10794535502489,0,0,0,0.385672064342801,0.00093048171448076,-1.91722020977971E-08,-7.52239479311428E-09,0.000930437800700538,-2.00548156529821E-08,0.000352171446989648,0,0,0,0,0,0,package://robot_model/meshes/upper_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/upper_base_link.STL,,b3-1;Foundation-1,upper_base_frame,upper_axis,upper_base_joint,prismatic,0,0,0.13128,0,0,0,base_link,0,0,1,10,10,-1,1,,,,,,,,
upper_link_1_1,0.0330321547264932,0.00150000000000104,-0.0431755342077551,0,0,0,0.0167092266655333,1.14520947743875E-05,-7.34932329622697E-08,-1.15759511079079E-06,1.67711222702261E-05,-6.74150618128821E-08,5.36035134659078E-06,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_1.STL,,bottom_1-36,upper_frame_1_1,upper_axis_1_1,upper_joint_1_1,revolute,-0.07,0.059,0.18,0,0.057419,0.86401,upper_base_link,0.057387,0,-0.99835,0,0,0,0,,,,,,,,
upper_link_1_2,0.0304999999999992,-0.00149999999999961,-0.045,0,0,0,0.0167092266655333,1.12993899246111E-05,7.72408699481494E-08,-1.49898179922226E-06,1.67711222702261E-05,6.30863999617509E-08,5.51305619636718E-06,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_2.STL,,bottom_1-34,upper_frame_1_2,upper_axis_1_2,upper_joint_1_2,revolute,0.060899,0.003,0.0035006,-0.056712,-0.0089859,1.4138,upper_link_1_1,0,0,-1,0,0,0,0,,,,,,,,
upper_link_1_3,0.0699994466294927,0.011932926537144,-0.0453128069074418,0,0,0,0.146644072509461,0.000100945826420388,-4.51350548183796E-10,-9.32140878461183E-07,0.000289022708610787,-3.16905927234267E-07,0.000190625661837862,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_3.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_3.STL,,bottom_left-9,upper_frame_1_3,upper_axis_1_3,upper_joint_1_3,revolute,0.061,-0.003,0,0,0,-2.2776,upper_link_1_2,0,0,-1,0,0,0,0,,,,,,,,
upper_link_1_4,0.0304999999999999,-0.00150000000000072,-0.045,0,0,0,0.0167092266655334,1.12993899246111E-05,7.72408699481507E-08,-1.49898179922225E-06,1.67711222702261E-05,6.30863999617501E-08,5.51305619636718E-06,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_4.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_4.STL,,bottom_1-35,upper_frame_1_4,upper_axis_1_4,upper_joint_1_4,revolute,0.07,0.059,0.18,0,0,2.2776,upper_base_link,0,0,-1,0,0,0,0,,,,,,,,
upper_link_1_5,0.0330321547264928,0.00150000000000001,-0.0431755342077551,0,0,0,0.0167092266655333,1.14520947743875E-05,-7.34932329622697E-08,-1.15759511079079E-06,1.67711222702261E-05,-6.74150618128823E-08,5.36035134659077E-06,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_5.STL,1,1,1,1,0,0,0,0,0,0,package://robot_model/meshes/upper_link_1_5.STL,,bottom_1-33,upper_frame_1_5,upper_axis_1_5,upper_joint_1_5,revolute,0.061,-0.003,0,0,0.057419,-1.4136,upper_link_1_4,0.057387,0,-0.99835,0,0,0,0,,,,,,,,
